Hand,RAISE 100,CALL,FOLD,RAISE 100 EV,CALL EV,FOLD EV
AhAd,99.9847412,0.01525879,0,120.815224,66.3916931,0
Ah2h,20.6665039,79.333508,0,10.1013556,10.1053972,0
Ah3h,60.1318479,39.8681641,0,11.339957,11.3382762,0.00000095
Ah4h,84.6069455,15.3930664,0,11.3634613,11.356088,0
Ah5h,88.6535764,11.3464355,0,13.2639813,13.2622633,0.00000095
Ah6h,32.2021484,67.7978635,0,13.2166684,13.2123604,0
Ah7h,23.6694336,76.3305783,0,13.3922234,13.3886213,0
Ah8h,65.7226682,34.2773438,0,14.8408475,14.8377194,0
Ah9h,99.6643186,0.33569336,0,17.2398949,16.9445334,0.00000095
AhTh,99.8916745,0.1083374,0,23.849493,21.1337938,0
AhJh,99.9847412,0.01525879,0,26.0232658,22.9215231,0
AhQh,99.9847412,0.01525879,0,33.4047184,26.0023422,0
AhKh,99.9755979,0.02441406,0,46.0917816,28.4648285,-0.000001
Ah2s,0.10070801,99.8993039,0,2.87542725,3.27973366,0
Ah3s,0.19836426,99.8016477,0,3.41401052,3.72603941,0
Ah4s,0.19836426,99.8016477,0,4.33079529,4.63558578,0
Ah5s,0.40893555,99.5910764,0,5.7598443,5.948596,-0.000001
Ah6s,1.24359131,98.7564206,0,5.1799345,5.18161249,0
Ah7s,12.9516602,87.0483518,0,5.92705297,5.92179155,0.00000095
Ah8s,10.6201172,89.3798947,0,7.40899801,7.40657163,0
Ah9s,43.2128906,56.7871213,0,9.35481155,9.33958054,0.00000095
AhTs,70.0439572,29.9560547,0,13.9547608,13.9342208,0
AhJs,95.2087522,4.79125977,0,16.5404306,16.5167046,0
AhQs,99.9755979,0.02441406,0,23.2506275,19.3290167,-0.000001
AhKs,99.9755979,0.02441406,0,36.8346844,21.5566034,0
2s2c,0.02288818,99.9633908,0.01372099,6.91176772,7.06153607,0
2s2d,0.02288818,99.9633908,0.01372099,6.91176772,7.06153607,0
2s2h,0.02288818,99.9633908,0.01372099,6.91176772,7.06153607,0
3s2c,0.03662109,0.06561279,99.8977661,-3.3285513,-2.3646469,-0.000001
3s3c,14.5385742,85.4614377,0,8.64190781,8.64826798,0.00000095
3s2d,0.03662109,0.06561279,99.8977661,-3.3285513,-2.3646469,-0.000001
3s3d,14.5385742,85.4614377,0,8.64190781,8.64826798,0.00000095
3s2h,0.03662109,0.06561279,99.8977661,-3.3285513,-2.3646469,-0.000001
3s3h,14.5385742,85.4614377,0,8.64190781,8.64826798,0.00000095
3s2s,8.80126953,90.8813596,0.31737089,0.97236633,0.97620773,0.00000095
4s2c,0.01525879,0.03814697,99.9465942,-3.524024,-2.4692831,0.00000095
4s3c,0.03662109,0.07629395,99.887085,-2.0015707,-0.9881163,0
4s4c,22.9614258,77.0385861,0,11.1989591,11.2109089,0
4s2d,0.01525879,0.03814697,99.9465942,-3.524024,-2.4692831,0.00000095
4s3d,0.03662109,0.07629395,99.887085,-2.0015707,-0.9881163,0
4s4d,22.9614258,77.0385861,0,11.1989591,11.2109089,0
4s2h,0.01525879,0.03814697,99.9465942,-3.524024,-2.4692831,0.00000095
4s3h,0.03662109,0.07629395,99.887085,-2.0015707,-0.9881163,0
4s4h,22.9614258,77.0385861,0,11.1989591,11.2109089,0
4s2s,3.7689209,95.8465695,0.38450956,1.19112015,1.19759846,0
4s3s,13.8427734,86.0962033,0.06102324,3.1899457,3.18678141,0
5s2c,0.03662109,0.06561279,99.8977661,-2.8272152,-1.9762602,0.00000095
5s3c,0.10070801,12.1520996,87.7471924,-0.728261,-0.0002089,0
5s4c,0.19378662,34.0332031,65.7730103,-0.3528328,0.00052166,0
5s5c,60.4736447,39.5263672,0,13.9239285,13.9140678,0.00000095
5s2d,0.03662109,0.06561279,99.8977661,-2.8272152,-1.9762602,0.00000095
5s3d,0.10070801,12.1520996,87.7471924,-0.728261,-0.0002089,0
5s4d,0.19378662,34.0332031,65.7730103,-0.3528328,0.00052166,0
5s5d,60.4736447,39.5263672,0,13.9239285,13.9140678,0.00000095
5s2h,0.03662109,0.06561279,99.8977661,-2.8272152,-1.9762602,0.00000095
5s3h,0.10070801,12.1520996,87.7471924,-0.728261,-0.0002089,0
5s4h,0.19378662,34.0332031,65.7730103,-0.3528328,0.00052166,0
5s5h,60.4736447,39.5263672,0,13.9239285,13.9140678,0.00000095
5s2s,15.8691406,84.0576291,0.07323027,1.57888317,1.57309341,0
5s3s,2.0111084,97.9263425,0.06254911,3.67669582,3.67959881,0
5s4s,95.816052,4.13818359,0.04576445,4.76526976,4.6642561,0
6s2c,0.01525879,0.03814697,99.9465942,-5.4605026,-3.8075705,0
6s3c,0.03662109,0.06256104,99.9008179,-3.0698681,-2.1092024,0
6s4c,0.03662109,0.07629395,99.887085,-2.2024269,-1.232089,0
6s5c,7.15332031,90.850842,1.99583769,0.08498955,0.08795166,0.00000095
6s6c,74.633801,25.3662109,0,17.570034,17.5714254,0
6s2d,0.01525879,0.03814697,99.9465942,-5.4605026,-3.8075705,0
6s3d,0.03662109,0.06256104,99.9008179,-3.0698681,-2.1092024,0
6s4d,0.03662109,0.07629395,99.887085,-2.2024269,-1.232089,0
6s5d,7.15332031,90.850842,1.99583769,0.08498955,0.08795166,0.00000095
6s6d,74.633801,25.3662109,0,17.570034,17.5714254,0
6s2h,0.01525879,0.03814697,99.9465942,-5.4605026,-3.8075705,0
6s3h,0.03662109,0.06256104,99.9008179,-3.0698681,-2.1092024,0
6s4h,0.03662109,0.07629395,99.887085,-2.2024269,-1.232089,0
6s5h,7.15332031,90.850842,1.99583769,0.08498955,0.08795166,0.00000095
6s6h,74.633801,25.3662109,0,17.570034,17.5714254,0
6s2s,0.340271,98.1765866,1.48314238,-0.1068783,0.3079052,0
6s3s,25.5126953,74.4384885,0.0488162,2.52660465,2.52061176,0
6s4s,29.0283203,70.9228635,0.0488162,3.37211657,3.36236334,0.00000095
6s5s,96.3836789,3.5736084,0.04271269,5.61833811,5.23659945,0.00000095
7s2c,0.01525879,0.03662109,99.9481201,-6.0783253,-4.3238249,0
7s3c,0.03662109,0.06256104,99.9008179,-3.898654,-3.0730782,0
7s4c,0.03662109,0.06256104,99.9008179,-2.4988441,-1.6159191,0
7s5c,0.21972656,63.4765744,36.303699,-0.1080933,0.00069809,0
7s6c,22.8881836,77.0263791,0.0854373,1.09742355,1.10067368,0
7s7c,96.8963742,3.1036377,0,21.2630749,21.2465887,0
7s2d,0.01525879,0.03662109,99.9481201,-6.0783253,-4.3238249,0
7s3d,0.03662109,0.06256104,99.9008179,-3.898654,-3.0730782,0
7s4d,0.03662109,0.06256104,99.9008179,-2.4988441,-1.6159191,0
7s5d,0.21972656,63.4765744,36.303699,-0.1080933,0.00069809,0
7s6d,22.8881836,77.0263791,0.0854373,1.09742355,1.10067368,0
7s7d,96.8963742,3.1036377,0,21.2630749,21.2465887,0
7s2h,0.01525879,0.03662109,99.9481201,-6.0783253,-4.3238249,0
7s3h,0.03662109,0.06256104,99.9008179,-3.898654,-3.0730782,0
7s4h,0.03662109,0.06256104,99.9008179,-2.4988441,-1.6159191,0
7s5h,0.21972656,63.4765744,36.303699,-0.1080933,0.00069809,0
7s6h,22.8881836,77.0263791,0.0854373,1.09742355,1.10067368,0
7s7h,96.8963742,3.1036377,0,21.2630749,21.2465887,0
7s2s,0.19073486,0.21362305,99.5956421,-1.1616278,-0.4013662,0.00000095
7s3s,2.82897949,96.5179563,0.65306425,0.69754314,0.70481491,0
7s4s,42.5048828,57.446301,0.0488162,3.18484402,3.17409515,0
7s5s,63.5009885,36.4746094,0.02440214,4.43171883,4.41003942,-0.000001
7s6s,98.0102658,1.98974609,0,6.89041257,6.26439691,0
8s2c,0.01525879,0.03662109,99.9481201,-4.9446316,-3.4653702,0
8s3c,0.03662109,0.02441406,99.9389648,-5.1891327,-3.9547014,0.00000095
8s4c,0.03662109,0.05950928,99.9038696,-3.1425285,-2.3874674,0
8s5c,0.19226074,0.18920898,99.6185303,-1.4554729,-0.7637186,0.00000095
8s6c,25.8056641,73.7548947,0.4394412,0.64117622,0.64038181,-0.000001
8s7c,21.4111328,78.540051,0.0488162,1.72278309,1.72175694,0.00000095
8s8c,99.7741818,0.22583008,0,26.5263481,24.8360252,0
8s2d,0.01525879,0.03662109,99.9481201,-4.9446316,-3.4653702,0
8s3d,0.03662109,0.02441406,99.9389648,-5.1891327,-3.9547014,0.00000095
8s4d,0.03662109,0.05950928,99.9038696,-3.1425285,-2.3874674,0
8s5d,0.19226074,0.18920898,99.6185303,-1.4554729,-0.7637186,0.00000095
8s6d,25.8056641,73.7548947,0.4394412,0.64117622,0.64038181,-0.000001
8s7d,21.4111328,78.540051,0.0488162,1.72278309,1.72175694,0.00000095
8s8d,99.7741818,0.22583008,0,26.5263481,24.8360252,0
8s2h,0.01525879,0.03662109,99.9481201,-4.9446316,-3.4653702,0
